File_Name,A,Ku1,Keff,Dmi,kappa,mz,Batch,A_scaled,Ku_scaled,Keff_scaled,Dmi_scaled,kappa_scaled,Nucleated,Freq,Freq_calc,Scale
Keff_0.000674_Aex_8.0_cropRT400.png,8.001,0.601651081,0.000674459,1.333333333,14.25537178,0.496735879,CC Run 1,0.66675,0.802201441,0.004496393,0.784313725,10.9656706,TRUE,25.90878296,26.47507086,16.96981818
Keff_0.000674_Aex_9.11_cropRT400.png,9.111,0.601651081,0.000674459,1.333333333,13.35880653,0.498897298,CC Run 1,0.75925,0.802201441,0.004496393,0.784313725,10.27600502,TRUE,23.12408257,22.80367087,14.28849499
Keff_0.000674_Aex_10.2_cropRT400.png,10.224,0.601651081,0.000674459,1.333333333,12.61073103,0.508997947,CC Run 1,0.852,0.802201441,0.004496393,0.784313725,9.700562331,TRUE,20.63549995,19.87450468,12.09606537
Keff_0.000674_Aex_11.3_cropRT400.png,11.334,0.601651081,0.000674459,1.333333333,11.97730418,0.51398735,CC Run 1,0.9445,0.802201441,0.004496393,0.784313725,9.213310908,TRUE,18.84723282,17.70336293,10.58442696
Keff_0.000674_Aex_12.4_cropRT400.png,12.444,0.601651081,0.000674459,1.333333333,11.43064355,0.51573155,CC Run 1,1.037,0.802201441,0.004496393,0.784313725,8.792802731,TRUE,17.02160263,16.28133798,9.271739262
Keff_0.000674_Aex_13.6_cropRT400.png,13.557,0.601651081,0.000674459,1.333333333,10.95138092,0.512562879,CC Run 1,1.12975,0.802201441,0.004496393,0.784313725,8.424139169,TRUE,15.92977524,15.60762621,8.254938591
Keff_0.000674_Aex_14.7_cropRT400.png,14.667,0.601651081,0.000674459,1.333333333,10.52882815,0.515746756,CC Run 1,1.22225,0.802201441,0.004496393,0.784313725,8.099098577,TRUE,14.53806877,15.68585951,7.377809993
Keff_0.000674_Aex_15.8_cropRT400.png,15.777,0.601651081,0.000674459,1.333333333,10.15169288,0.513465077,CC Run 1,1.31475,0.802201441,0.004496393,0.784313725,7.808994523,TRUE,13.35887432,16.5132096,6.611255329
Keff_0.000674_Aex_16.9_cropRT400.png,16.89,0.601651081,0.000674459,1.333333333,9.811510175,0.513573957,CC Run 1,1.4075,0.802201441,0.004496393,0.784313725,7.547315519,TRUE,12.67843151,18.09495227,6.003794689
Keff_0.000674_Aex_18.0_cropRT400.png,18,0.601651081,0.000674459,1.333333333,9.504175141,0.512062738,CC Run 1,1.5,0.802201441,0.004496393,0.784313725,7.310903955,TRUE,12.06341171,20.4225606,5.449880487
